system:index,classification,confidence,manual_class,manual_name,notes,point_id,rf_class,rf_class_name,.geo
58,2,high,2,Degraded Forest/Jhum ,,58,2,Degraded Forest / Jhum,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.11041954047077,22.682146513668478]}"
59,2,high,1,Dense Forest,,59,2,Degraded Forest / Jhum,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.1001787462318,22.673792181526167]}"
60,2,high,2,Degraded Forest/Jhum ,,60,2,Degraded Forest / Jhum,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.33356105704605,22.62932557496225]}"
61,2,high,5,Bare Land ,,61,2,Degraded Forest / Jhum,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.16755239254077,22.999880629661554]}"
62,2,high,3,water,,62,2,Degraded Forest / Jhum,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.2669958944928,22.784554456058103]}"
63,2,high,2,Degraded Forest/Jhum ,,63,2,Degraded Forest / Jhum,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.42384174310007,22.784554456058103]}"
64,2,high,2,Degraded Forest/Jhum ,,64,2,Degraded Forest / Jhum,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.44324535323705,22.882111495913485]}"
65,2,medium,2,Degraded Forest/Jhum ,,65,2,Degraded Forest / Jhum,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.42195528100342,22.52583965423168]}"
66,2,high,2,Degraded Forest/Jhum ,,66,2,Degraded Forest / Jhum,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.11715690510167,22.60830499731385]}"
67,2,low,2,Degraded Forest/Jhum ,,67,2,Degraded Forest / Jhum,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.2077070857409,22.79829867990513]}"
68,2,high,2,Degraded Forest/Jhum ,,68,2,Degraded Forest / Jhum,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.43543001026521,22.79722070156419]}"
69,2,high,2,Degraded Forest/Jhum ,,69,2,Degraded Forest / Jhum,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.10637712169223,22.60722701897291]}"
70,2,high,2,Degraded Forest/Jhum ,,70,2,Degraded Forest / Jhum,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.41117549759399,22.47894759640064]}"
71,2,medium,1,Dense Forest,,71,2,Degraded Forest / Jhum,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.37775816902473,22.970236225285607]}"
72,2,low,2,Degraded Forest/Jhum ,,72,2,Degraded Forest / Jhum,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.21390546120134,23.67307810358072]}"
73,2,high,2,Degraded Forest/Jhum ,,73,2,Degraded Forest / Jhum,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.43785546153234,22.313477921065825]}"
74,2,high,2,Degraded Forest/Jhum ,,74,2,Degraded Forest / Jhum,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.17941015429115,22.547668715635787]}"
75,2,medium,2,Degraded Forest/Jhum ,,75,2,Degraded Forest / Jhum,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.22037333124699,23.320309691506985]}"
76,2,medium,2,Degraded Forest/Jhum ,,76,2,Degraded Forest / Jhum,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.32116430612521,23.374747597724628]}"
77,2,medium,2,Degraded Forest/Jhum ,,77,2,Degraded Forest / Jhum,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.14734029864807,22.620971242819937]}"
78,2,medium,2,Degraded Forest/Jhum ,,78,2,Degraded Forest / Jhum,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.14464535279572,23.084232434840377]}"
79,2,high,2,Degraded Forest/Jhum ,,79,2,Degraded Forest / Jhum,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.34326286211454,22.446877740757575]}"
80,3,high,3,water,,80,3,Water,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.18911195935964,22.58000806586409]}"
81,3,high,3,water,,81,3,Water,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.27184679702704,22.513173408725596]}"
82,3,high,3,water,,82,3,Water,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.19315437813817,22.9122948894599]}"
83,3,high,3,water,,83,3,Water,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.18237459472874,22.69777719961216]}"
84,3,high,3,water,,84,3,Water,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.3308661111937,22.709904455947772]}"
85,3,high,3,water,,85,3,Water,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.22172080417317,22.68915337288461]}"
86,3,high,3,water,,86,3,Water,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.17051683297836,22.556023047778098]}"
87,3,high,3,water,,87,3,Water,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.25702459483907,22.84195680271334]}"
88,3,high,3,water,,88,3,Water,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.12281629139162,22.770271243040604]}"
89,3,high,3,water,,89,3,Water,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.29852676096539,22.69696871585645]}"
90,3,high,3,water,,90,3,Water,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.28235708585125,22.70855698302159]}"
91,3,high,3,water,,91,3,Water,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.24274138182157,22.892352290152445]}"
92,3,high,3,water,,92,3,Water,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.19638831316101,22.689422867469847]}"
93,3,high,3,water,,93,3,Water,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.25244318689006,22.527456621743095]}"
94,3,high,3,water,,94,3,Water,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.11392297007883,22.781320521035273]}"
95,3,high,3,water,,95,3,Water,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.21821737456511,22.537966910567295]}"
96,3,high,3,water,,96,3,Water,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.20177820486572,22.57327070123319]}"
97,3,high,3,water,,97,3,Water,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.21902585832082,22.89935914936858]}"
98,3,high,3,water,,98,3,Water,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.18237459472874,22.685110954106072]}"
99,3,high,3,water,,99,3,Water,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.30580311476676,22.77161871596678]}"
100,3,high,3,water,,100,3,Water,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.22953614714501,22.936549402131128]}"
101,3,high,3,water,,101,3,Water,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.20528163447379,22.861899402020793]}"
102,3,high,3,water,,102,3,Water,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.18911195935964,22.668671784406683]}"
103,3,high,3,water,,103,3,Water,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.19423235647912,22.921727199943156]}"
104,3,high,3,water,,104,3,Water,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.21660040705369,22.85300608070801]}"
105,3,high,3,water,,105,3,Water,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.22252928792888,22.639296874615976]}"
106,3,high,3,water,,106,3,Water,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.17402026258642,22.709634961362536]}"
107,3,high,3,water,,107,3,Water,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.24705329518534,22.518563300430312]}"
108,3,high,3,water,,108,3,Water,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.18641701350728,22.61234741609239]}"
109,3,high,3,water,,109,3,Water,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.34110690543265,22.727960593158574]}"
110,3,high,3,water,,110,3,Water,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.23034463090072,22.82443965467301]}"
111,3,high,3,water,,111,3,Water,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.20258668862142,22.911216911118956]}"
112,3,high,3,water,,112,3,Water,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.23142260924166,22.838992362275746]}"
113,3,high,3,water,,113,3,Water,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.20743759115567,22.550363661488145]}"
114,3,high,3,water,,114,3,Water,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.24301087640681,22.884536947180607]}"
115,3,high,3,water,,115,3,Water,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.17806268136496,22.94490373427344]}"
116,3,high,3,water,,116,3,Water,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.24786177894106,22.789405358592347]}"
117,3,high,3,water,,117,3,Water,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.1767152084388,22.555484058607625]}"
118,3,high,3,water,,118,3,Water,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.3338305516313,22.710173950533008]}"
119,3,high,3,water,,119,3,Water,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.23384806050879,22.819049762968294]}"
120,4,high,4,Agriculture / Settlement,,120,4,Agriculture / Settlement,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.37263777190526,22.668132795236215]}"
121,4,low,4,Agriculture / Settlement,,121,4,Agriculture / Settlement,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.25675510025384,22.89262178473768]}"
122,4,high,2,Degraded Forest/Jhum ,,122,4,Agriculture / Settlement,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.05490365591218,22.89208279556721]}"
123,4,low,2,Degraded Forest/Jhum ,,123,4,Agriculture / Settlement,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.31550491983525,22.76973225387013]}"
124,4,medium,4,Agriculture / Settlement,,124,4,Agriculture / Settlement,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.12254679680638,22.81150391458169]}"
125,4,high,4,Agriculture / Settlement,,125,4,Agriculture / Settlement,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.38557351199657,22.858126477827494]}"
126,4,high,3,water,,126,4,Agriculture / Settlement,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.07188181478203,22.870792723333576]}"
127,4,medium,2,Degraded Forest/Jhum ,,127,4,Agriculture / Settlement,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.36967333146767,22.631751026229374]}"
128,4,high,4,Agriculture / Settlement,,128,4,Agriculture / Settlement,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.25513813274242,22.927656080818345]}"
129,4,high,4,Agriculture / Settlement,,129,4,Agriculture / Settlement,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.24139390889539,22.393517812880877]}"
130,4,low,4,Agriculture / Settlement,,130,4,Agriculture / Settlement,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.0611020313726,22.857856983242257]}"
131,4,medium,4,Agriculture / Settlement,,131,4,Agriculture / Settlement,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.24112441431015,23.039765828276458]}"
132,4,high,4,Agriculture / Settlement,,132,4,Agriculture / Settlement,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.26079751903238,22.925500124136455]}"
133,4,high,3,water,,133,4,Agriculture / Settlement,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.15677260913134,23.02871655028179]}"
134,4,high,3,water,,134,4,Agriculture / Settlement,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.32493723031851,22.528265105498804]}"
135,4,medium,4,Agriculture / Settlement,,135,4,Agriculture / Settlement,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.27615871039082,22.743052289931782]}"
136,4,high,3,water,,136,4,Agriculture / Settlement,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.23034463090072,22.961881893143296]}"
137,4,high,4,Agriculture / Settlement,,137,4,Agriculture / Settlement,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.00828109266638,22.630942542473665]}"
138,4,low,4,Agriculture / Settlement,,138,4,Agriculture / Settlement,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.24516683308869,22.973739654893674]}"
139,4,high,4,Agriculture / Settlement,,139,4,Agriculture / Settlement,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.3564680967911,22.897203192686693]}"
140,4,high,4,Agriculture / Settlement,,140,4,Agriculture / Settlement,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.11284499173789,22.837375394764333]}"
141,4,high,2,Degraded Forest/Jhum ,,141,4,Agriculture / Settlement,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.01582694105298,22.579469076693616]}"
142,4,low,4,Agriculture / Settlement,,142,4,Agriculture / Settlement,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.21228849368993,23.11064290419349]}"
143,4,medium,4,Agriculture / Settlement,,143,4,Agriculture / Settlement,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.1362910206534,22.717450304334374]}"
144,4,high,3,water,,144,4,Agriculture / Settlement,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.21552242871275,23.05270156836778]}"
145,4,high,3,water,,145,4,Agriculture / Settlement,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.23223109299737,23.013355358923345]}"
146,4,high,3,water,,146,4,Agriculture / Settlement,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.14680130947761,22.63309849915555]}"
147,4,medium,4,Agriculture / Settlement,,147,4,Agriculture / Settlement,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.27130780785657,22.86675030455504]}"
148,4,medium,1,Dense Forest,,148,4,Agriculture / Settlement,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.25837206776525,22.669480268162392]}"
149,4,medium,1,Dense Forest,,149,4,Agriculture / Settlement,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.17051683297836,22.688075394543667]}"
150,4,high,4,Agriculture / Settlement,,150,4,Agriculture / Settlement,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.21121051534898,23.123309149699576]}"
151,4,high,3,water,,151,4,Agriculture / Settlement,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.21040203159326,22.917145791994145]}"
152,4,low,4,Agriculture / Settlement,,152,4,Agriculture / Settlement,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.2068986019852,23.079651026891366]}"
153,4,medium,4,Agriculture / Settlement,,153,4,Agriculture / Settlement,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.16701340337029,22.938435864227777]}"
154,4,high,4,Agriculture / Settlement,,154,4,Agriculture / Settlement,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.25379065981625,23.003653553854853]}"
155,4,high,2,Degraded Forest/Jhum ,,155,4,Agriculture / Settlement,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.15758109288704,23.32543008862647]}"
156,4,medium,1,Dense Forest,,156,4,Agriculture / Settlement,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.12200780763591,22.820936225064944]}"
157,4,medium,1,Dense Forest,,157,4,Agriculture / Settlement,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.2384294684578,22.78724940191046]}"
158,4,high,4,Agriculture / Settlement,,158,4,Agriculture / Settlement,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.42896214021955,22.70613153175447]}"
159,4,high,3,water,,159,4,Agriculture / Settlement,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.20555112905902,22.964307344410418]}"
160,5,high,4,Agriculture / Settlement,,160,5,Bare Land,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.19423235647912,22.879416550061126]}"
161,5,high,5,Bare Land,,161,5,Bare Land,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.23896845762827,22.439331892370973]}"
162,5,high,3,water,,162,5,Bare Land,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.22657170670742,22.694004275418855]}"
163,5,medium,2,Degraded Forest/Jhum ,,163,5,Bare Land,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.15461665244945,23.07668658645377]}"
164,5,high,3,water,,164,5,Bare Land,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.310654017301,22.716102831408197]}"
165,5,high,3,water,,165,5,Bare Land,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.12066033470973,22.754371062511687]}"
166,5,medium,2,Degraded Forest/Jhum ,,166,5,Bare Land,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.1850695405811,22.71583333682296]}"
167,5,high,3,water,,167,5,Bare Land,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.27103831327133,22.641722325883098]}"
168,5,high,2,Degraded Forest/Jhum ,,168,5,Bare Land,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.37317676107573,22.59671673014871]}"
169,5,medium,2,Degraded Forest/Jhum ,,169,5,Bare Land,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.20258668862142,22.68187701908324]}"
170,5,high,2,Degraded Forest/Jhum ,,170,5,Bare Land,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.22845816880407,23.335131893694957]}"
171,5,medium,1,Dense Forest,,171,5,Bare Land,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.2279191796336,22.67540914903758]}"
172,5,medium,2,Degraded Forest/Jhum ,,172,5,Bare Land,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.17887116512067,23.02683008818514]}"
173,5,low,5,Bare Land,,173,5,Bare Land,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.04574084001416,22.892891279322917]}"
174,5,medium,2,Degraded Forest/Jhum ,,174,5,Bare Land,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.18533903516634,22.625822145354185]}"
175,5,high,4,Agriculture / Settlement,,175,5,Bare Land,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.28074011833982,22.81662431170117]}"
176,5,medium,2,Degraded Forest/Jhum ,,176,5,Bare Land,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.20366466696237,22.844382253980463]}"
177,5,low,5,Bare Land,,177,5,Bare Land,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.18372206765491,23.414093807169063]}"
178,5,medium,1,Dense Forest,,178,5,Bare Land,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.30930654437483,22.61234741609239]}"
179,5,low,5,Bare Land,,179,5,Bare Land,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.17536773551261,23.323543626529815]}"
180,5,high,5,Bare Land,,180,5,Bare Land,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.37721917985427,22.954875033927166]}"
